"id","latitude","longitude","track_id","time"
1,37.55806079192712,126.99965880523811,1,"2014-09-13 07:24:32"
2,37.558034213375876,126.99966819296921,1,"2014-09-13 07:24:37"
3,37.5580161399556, 126.9996876389836,1,"2014-09-13 07:24:42"
4,37.557989561388425, 126.99971177886356,1,"2014-09-13 07:24:47"
5,37.55796829852787, 126.99974463592243,1,"2014-09-13 07:24:53"
6,37.55796404595402, 126.99976810525554,1,"2014-09-13 07:24:59"
7,37.557947567231956, 126.99983851323874,1,"2014-09-13 07:25:04"
8,37.557907699340944, 126.99999408135402,1,"2014-09-13 07:25:10"
9,37.55787261557698, 127.00014294395714,1,"2014-09-13 07:25:15"
10,37.55784337909591, 127.00025962005067,1,"2014-09-13 07:25:21"
11,37.55782264776626, 127.0003494740483,1,"2014-09-13 07:25:27"
12,37.557809890022064, 127.00042725810596,1,"2014-09-13 07:25:32"
13,37.55781361103102, 127.00047889062697,1,"2014-09-13 07:25:38"
14,37.55783912651594, 127.0005218059691,1,"2014-09-13 07:25:43"
15,37.55786995771547, 127.00052985260528,1,"2014-09-13 07:25:49"
16,37.55791195191466, 127.0005459458586,1,"2014-09-13 07:25:54"
17,37.55793799893772, 127.00056069800745,1,"2014-09-13 07:26:00"
18,37.55800231910087, 127.00057947347644,"2014-09-13 07:26:06"
19,37.558082054761925, 127.00061031888066,"2014-09-13 07:26:12"
